as_of_date,tee_date,course_name,avg_price,occ_percent,market_avg,market_min,market_max
2026-05-10,2026-05-11,lakewood_golf_club,51.98,11.76,57.24,40.5,86.47
2026-05-10,2026-05-11,ironwood_golf_club,51.98,3.78,57.24,40.5,86.47
2026-05-10,2026-05-11,stonegate_golf_club_central,62.58,3.78,57.24,40.5,86.47
2026-05-10,2026-05-11,silver_ridge_golf_club_north,64.94,1.49,57.24,40.5,86.47
2026-05-10,2026-05-11,falcon_crest_golf_club,88.5,18.61,57.24,40.5,86.47
2026-05-11,2026-05-11,blue_heron_golf_course,35.49,7.2,58.38,39.32,86.47
2026-05-11,2026-05-11,pinehurst_links_club,42.55,20.89,58.38,39.32,86.47
2026-05-11,2026-05-11,ironwood_golf_club,51.98,20.89,58.38,39.32,86.47
2026-05-11,2026-05-11,lakewood_golf_club,56.69,3.78,58.38,39.32,86.47
2026-05-11,2026-05-11,stonegate_golf_club_central,61.4,3.78,58.38,39.32,86.47
2026-05-11,2026-05-11,silver_ridge_golf_club_north,64.94,7.2,58.38,39.32,86.47
2026-05-11,2026-05-11,falcon_crest_golf_club,88.5,9.48,58.38,39.32,86.47
